StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
101,0,196005,4.78,56.8,0.37,1.4,1.1,0.57,13,226,0.93,0.57,-0.11,0.58,1.09,1.06,0.35,45.6,67.9
108,0,196005,3.37,48.3,1.78,1.78,2.59,1.78,1,428,1.27,1.19,1.45,0.06,0.27,0.13,0.36,36.9,59.6
102,0,196005,4.85,54.9,2.83,2.83,2.99,2.83,20,316,1.27,1.43,0.83,1.14,1.39,1.35,0.68,43.5,66.4
105,0,196005,2.53,52.6,-0.34,-0.34,0.1,-0.34,23,347,-0.04,-0.14,-0.41,-0.76,0.35,-0.58,-0.43,39,66.2
104,0,196005,3.3,67.9,2.32,2.32,-0.41,1.89,159,51,-0.38,-0.23,0.1,0.28,1.15,1.11,0.84,55.2,80.7
108,0,196006,0.57,58.7,-0.71,0.88,-2.14,-0.23,20,186,-1.74,0.11,0.31,0.33,-0.51,-0.07,0.03,43.7,73.6
104,0,196006,4.14,75.8,1.9,1.9,-0.55,1.2,332,2,-0.58,-0.69,-0.51,0.32,0.77,1.07,0.69,64.4,87.2
105,0,196006,2.37,61.3,-0.65,-0.65,-1.04,-0.65,85,139,-0.63,-0.53,-0.51,-0.69,-0.58,-0.7,-0.66,48.2,74.5
103,0,196006,4.99,70.3,0.65,0.65,1.48,0.65,158,33,0.63,0.34,-0.21,-0.62,-0.25,-0.24,-0.38,59,81.6
107,0,196006,0.85,69.9,-1.68,-1.68,-0.93,-1.19,293,62,-0.01,-0.61,-0.99,-0.46,0.09,-0.01,-0.57,53.6,86.3
109,0,196006,0.09,71.1,-3.11,-3.11,-0.62,-3.11,176,24,-1.19,-0.7,-0.59,0.01,-1.03,-0.88,-1.68,55,87.2
102,0,196006,3.89,62.7,2.65,2.65,0.33,2.65,66,108,-0.13,0.75,0.98,0.6,1.08,1.58,0.77,51,74.3
106,0,196006,3.61,78.7,1.13,1.13,-0.21,-0.34,449,1,0.08,-0.49,-0.94,-0.69,-0.15,0.15,0.18,66.2,91.1
101,0,196006,3.8,64,0.35,1.27,0.05,0.45,94,39,0,0.61,0.39,0.36,1.41,0.97,0.38,52.3,75.8
105,0,196007,0.99,70.9,-1.48,-1.48,-2.69,-1.48,225,26,-1.98,-1.47,-1.16,-1.2,-1.27,-0.67,-1.26,55.2,86.6
106,0,196007,3.85,80.6,1.25,1.25,0.7,0.06,528,0,0.67,0.41,-0.13,-0.59,-0.45,-0.06,0.07,68.8,92.3
102,0,196007,2.89,68.5,2.2,2.2,-0.53,1.91,148,28,-0.66,-0.57,0.3,0.12,0.33,1.49,0.41,55.9,81
107,0,196007,1.75,73.4,-1.73,-1.73,-0.68,-1.4,369,14,-0.21,-0.21,-0.64,-0.83,-0.32,0.11,-0.49,58.1,88.7
104,0,196007,6.62,78.8,2.02,2.02,0.94,1.64,427,0,0.73,0.11,-0.19,0.41,0.13,0.98,0.71,68,89.5
103,0,196007,3.53,73.3,-0.02,-0.02,-0.07,0.56,239,8,-0.48,0.1,0.03,-0.65,-0.71,-0.4,-0.98,61.9,84.7
101,0,196007,4.49,66.7,0.82,1.65,1.52,1.31,159,14,0.54,0.27,0.67,0.52,0.92,1.1,0.29,55.1,78.2
109,0,196007,0.29,76.1,-3.32,-3.32,-1.58,-3.32,295,0,-0.02,-1.03,-0.74,0.09,-0.79,-0.83,-1.7,60,92.2
108,0,196007,0.23,68.3,-1.25,-1.25,-1.83,-1.25,116,51,-1.51,-2.14,-0.25,0.75,-0.66,-0.09,-0.06,51.4,85.1
103,0,196008,3.34,74.9,-0.11,-0.11,-0.27,0.41,284,6,-0.27,-0.63,-0.1,-0.88,-0.78,-0.44,-1.03,63.7,86.1
108,0,196008,1.39,61.3,-0.95,-0.95,0.53,-0.54,35,120,1.08,0.34,-0.95,0.78,-0.21,0.04,0.1,47,75.5
104,0,196008,5.25,78.4,1.84,1.84,0.09,1.45,424,0,0.07,0.42,0.06,0.05,0.25,1.08,0.74,68.4,88.5
102,0,196008,4.56,68.8,2.48,2.48,1.52,2.48,165,29,1.01,0.28,0.09,0.55,0.8,1.16,0.73,57.5,80.2
101,0,196008,2.79,67.4,0.22,0.97,-1.54,-0.03,183,15,-1.1,-0.42,-0.36,-0.42,0.21,0.72,0.11,55.7,79
109,0,196008,0.09,72.2,-3.53,-3.53,-1.66,-3.53,216,8,-1.27,-0.92,-1.49,-0.61,-0.39,-0.91,-1.93,55.7,88.6
107,0,196008,1.01,72,-2.67,-2.67,-3.36,-2.67,324,24,-1.66,-1.37,-1.28,-1.77,-0.68,-0.63,-0.72,56.4,87.7
106,0,196008,4.16,80.2,1.82,1.82,2.11,1.3,499,0,1.27,1.29,0.94,-0.35,0.05,0.18,0.28,68.8,91.5
105,0,196008,2.41,66.6,-1.02,-1.02,0.92,-0.45,173,64,1.19,-0.37,-0.72,-0.79,-0.99,-0.24,-0.88,51.8,81.4
109,0,196009,0.32,68.4,-3.45,-3.45,-0.87,-3.45,175,20,-0.17,-0.94,-0.85,-0.99,-0.11,-1.19,-1.94,52.4,84.4
103,0,196009,2.32,69.7,-0.76,-0.76,-1.97,-0.76,151,35,-0.98,-0.9,-1.04,-0.81,-1.08,-0.66,-1.25,57.5,81.8
105,0,196009,0.83,58.6,-1.69,-1.69,-2.31,-1.69,59,188,-1.16,0.04,-0.96,-0.96,-1.09,-0.95,-0.93,43.5,73.7
108,0,196009,0.77,57.8,-1.34,-1.34,-1.47,-1.34,17,206,-0.81,0.1,-0.38,-0.03,0.15,-0.6,0.03,42.8,72.9
107,0,196009,1.02,66.2,-2.91,-2.91,-1.52,-2.91,219,90,-0.56,-1.86,-1.52,-1.86,-1.27,-0.61,-1.19,51.1,81.3
104,0,196009,6.5,73.7,2.51,2.51,2.59,2.51,285,9,1.26,1.05,1.19,0.45,0.86,1.16,1.16,63.8,83.6
106,0,196009,2.26,74.9,1.13,1.13,-1.51,0.08,348,4,-0.78,0.22,0.46,-0.38,-0.34,0.05,-0.32,62.1,87.8
101,0,196009,5.03,60.7,0.81,1.48,1.83,1.13,47,97,1,0.26,0.38,0.49,0.45,1.32,0.25,50.1,71.3
102,0,196009,3.01,60.5,-0.16,2.06,-0.49,1.79,49,124,-0.17,0.52,0.14,0.72,0.51,0.88,0.81,49.6,71.5
104,0,196010,2.85,65.1,2.27,2.27,0.05,2.23,151,106,-0.13,0.87,0.75,0.39,0.71,0.43,1.14,53.7,76.5
106,0,196010,4.53,65.5,1.74,1.74,2.18,1.32,156,60,1.19,0.51,0.92,0.53,0.04,0.01,0.04,53.6,77.4
108,0,196010,2.32,46.9,-1.39,-1.39,-0.57,-1.39,0,440,-0.11,-0.58,-0.13,-0.35,0.55,-0.69,0.08,35.2,58.7
109,0,196010,0.63,55.7,-3.41,-3.41,-0.94,-3.41,21,178,-0.52,-0.7,-1.03,-1.38,-0.22,-1.06,-1.74,41.9,69.4
107,0,196010,2.19,52.5,-1.59,-1.59,3.05,-0.27,49,341,1.42,0.8,-0.2,-0.54,-0.79,-0.4,-0.68,38.9,66
102,0,196010,1.84,47.8,-0.37,1.63,-0.67,1.01,1,497,-0.49,-0.49,0.18,0.25,0.17,0.37,0.9,36.2,59.3
101,0,196010,2.71,47.6,-0.04,1.29,-0.11,0.84,1,422,-0.44,0.31,-0.18,0.3,0.24,0.65,0.05,36.3,58.8
103,0,196010,2.75,56.3,-0.85,-0.85,-0.51,-0.85,14,324,-0.03,-0.72,-0.77,-0.5,-1.02,-1.01,-1.16,44.3,68.3
105,0,196010,0.72,46.6,-2.05,-2.05,-1.62,-2.05,3,509,-1.01,-1.48,-0.5,-1.22,-1.29,-1.37,-0.95,32.7,60.5
109,0,196011,3.57,44.4,-2.18,-2.18,2.62,-1.08,0,430,1.38,0.97,0.88,0.42,0.03,-0.13,-1.21,34.4,54.5
102,0,196011,1.66,34.8,-0.54,1.25,-0.63,0.33,0,835,-0.09,-0.51,-0.47,-0.32,0.14,0.37,0.75,25.9,43.6
108,0,196011,6.51,35.3,0.75,0.75,2.26,0.75,0,732,1.12,0.84,0.49,0.05,0.91,0.09,0.16,27.7,42.9
106,0,196011,1.49,53,1.21,1.21,-1.05,0.37,29,286,-0.76,0.52,0.04,0.55,-0.26,0.02,-0.05,40.4,65.6
103,0,196011,2.43,43.8,-1.28,-1.28,-1.55,-1.28,0,661,-0.53,-0.45,-0.87,-0.69,-1.15,-1.08,-1.27,32.3,55.3
107,0,196011,0.64,42.1,-1.73,-1.73,-0.9,-0.77,7,604,-0.36,0.99,0.5,-0.42,-0.98,-0.33,-0.74,28.5,55.8
101,0,196011,2.41,39.7,-0.63,0.55,-1.8,-0.63,0,655,-0.9,-1.03,-0.24,-0.44,-0.49,0.06,-0.09,30.4,49.1
105,0,196011,1,31,-1.85,-1.85,-0.02,-1.78,0,945,0.19,-0.75,-1.22,-1.33,-1.22,-1.41,-1.08,19.7,42.4
104,0,196011,1.35,54.7,1.56,1.56,-1.45,0.82,62,306,-1.32,-0.92,0.15,0.13,0.15,0.27,1.07,41.9,67.6
106,0,196012,3.78,40.2,1.79,1.79,2.11,1.62,2,659,1.29,0.27,0.91,0.99,0.23,0.16,0.41,30.4,50.1
104,0,196012,2.07,41.5,1,1,-1.18,-0.26,14,669,-1.35,-1.87,-1.53,-0.16,-0.41,0.16,1.14,29,53.9
108,0,196012,2.36,28.3,-0.82,-0.82,-2.46,-0.82,0,932,-1.4,-0.01,-0.12,-0.26,-0.08,0.06,-0.15,20.7,36
101,0,196012,2.44,20.5,-1.04,-1.04,-1.41,-1.04,0,1254,-0.78,-1.2,-1.3,-0.68,-0.29,-0.25,0.13,10.3,30.6
109,0,196012,1.43,38.4,-2.28,-2.28,-0.96,-1.53,0,577,-0.7,0.35,0.14,-0.03,-0.33,-0.09,-1.11,27.3,49.6
107,0,196012,0.95,30.7,-1.58,-1.58,-0.09,-0.64,0,943,0.02,-0.29,0.75,-0.4,-0.81,-0.64,-0.54,19,42.5
105,0,196012,0.67,20.5,-1.99,-1.99,-0.99,-1.99,0,1331,-0.53,-0.21,-0.93,-1.26,-1.17,-1.27,-1.13,10.2,30.9
102,0,196012,0.69,16.8,-0.86,0.75,-1.12,-0.62,0,1413,-1.3,-0.71,-0.85,-0.42,0.19,0.02,0.79,7.7,26
103,0,196012,2.18,28,-1.66,-1.66,-1.53,-1.66,0,1194,-0.81,-0.9,-0.79,-1.17,-1.02,-1.3,-1.09,18.4,37.6
103,0,196101,1.29,26.4,-2.11,-2.11,-1.88,-2.11,0,1250,-1.62,-1.64,-1.49,-1.44,-1.1,-1.47,-1.32,16.2,36.7
101,0,196101,2.11,15.4,-1.42,-1.42,-1.47,-1.42,0,1373,-0.93,-1.27,-1.69,-1.25,-0.54,-0.47,-0.08,5.2,25.6
108,0,196101,3.31,30.9,-1.24,-1.24,-1.51,-1.24,0,834,-0.7,-1.36,-0.38,-0.43,-0.47,0.06,-0.54,22.3,39.5
105,0,196101,0.25,20.9,-2.66,-2.66,-2.62,-2.66,0,1365,-3.09,-2.14,-1.22,-1.11,-1.51,-1.54,-1.29,9.8,32.1
109,0,196101,1.38,39.6,-2.74,-2.74,-2.07,-2.72,0,517,-0.84,-1.1,-0.25,-0.54,-0.71,-0.44,-1.41,26.9,52.2
106,0,196101,2.11,38.5,1.94,1.94,0.99,1.94,2,741,-0.03,0.85,0.13,0.74,0.48,0.07,0.56,26.1,50.8
104,0,196101,3.06,40.6,0.67,0.67,-0.68,-0.82,16,693,-0.5,-1.21,-1.64,-0.61,-0.66,-0.11,1.05,29.2,52.1
102,0,196101,0.31,13,-1.28,-1.28,-1.52,-1.28,0,1514,-3.09,-2.2,-1.32,-0.54,-0.3,-0.31,0.64,3,23
107,0,196101,0.47,31.9,-1.9,-1.9,-1.46,-1.47,0,886,-0.99,-0.63,-0.78,-0.68,-0.88,-1.01,-0.52,17.6,46.1
