StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      103,      00,   196504,   4.58,   54.9,    .98,  -1.21,    .77,    .26,      9,    389,    .62,     .5,    .56,    .54,   -.15,   -.74,  -1.14,   43.1,   66.6,
      107,      00,   196504,   1.42,   49.5,   1.28,   1.28,   1.41,   1.28,     26,    408,    .86,    .51,    .36,    .63,   -.02,   -.25,   -.81,   35.8,   63.1,
      102,      00,   196505,   4.34,   58.4,   1.92,   1.92,    1.2,   1.92,     53,    213,    .84,   1.15,   1.51,   1.42,    .61,    .43,   -.56,   46.3,   70.5,
      103,      00,   196505,   2.73,   67.7,   -.95,  -2.03,  -2.85,  -1.56,    138,     85,  -1.16,   -.41,   -.26,    .06,   -.49,   -.67,  -1.24,   55.4,   80.1,
      104,      00,   196505,   1.74,   72.2,  -1.61,      1,  -3.61,  -1.07,    244,     14,  -1.85,  -1.56,   -.55,   -.17,     .4,    .72,    .94,   58.8,   85.6,
      106,      00,   196505,   4.45,   71.7,  -2.38,  -2.38,   -.21,  -2.38,    264,     10,    .47,    -.6,   -.66,   -.37,   -.24,   -.53,  -1.09,   60.8,   82.5,
      109,      00,   196505,    .51,   55.9,   1.53,   1.53,   -.14,   1.17,     23,    222,   -.64,   1.21,    .21,    .39,    .44,    .49,   -.21,   42.6,   69.3,
      107,      00,   196505,   1.35,   56.4,   1.79,   1.79,   1.93,   1.79,     70,    260,    .63,    .89,    .64,    .68,    .23,    -.1,   -.47,   41.9,   70.8,
      105,      00,   196505,   3.76,   51.9,   1.86,   1.86,   3.32,   1.86,     46,    335,   1.22,   1.13,    .72,   1.32,    .16,    .79,    .61,   39.4,   64.3,
      101,      00,   196505,   1.76,   58.1,  -4.96,  -4.96,  -3.41,  -4.96,     44,    153,  -1.79,  -1.85,  -2.55,  -1.64,  -2.52,  -2.62,  -2.26,   44.7,   71.4,
      108,      00,   196505,   1.62,   48.1,     .2,   1.12,   -.35,    -.7,      1,    444,   -.57,    .18,  -1.45,   1.19,     .7,   1.14,    .79,   35.9,   60.3,
      105,      00,   196506,   3.78,   60.5,   2.55,   2.55,   2.64,   2.55,     96,    149,    .94,   1.47,   1.34,   1.08,    .83,    .36,    .58,   48.7,   72.4,
      106,      00,   196506,   3.93,   77.1,  -1.93,  -1.93,    .62,  -1.59,    408,      1,    .33,    .47,   -.28,   -.05,   -.37,    -.2,   -.98,     66,   88.1,
      109,      00,   196506,    .65,     63,   1.85,   1.85,   1.45,   1.85,     48,    125,    .67,    -.2,   1.26,    -.5,    .54,    .43,    -.3,   49.2,   76.8,
      107,      00,   196506,   1.81,   64.1,   2.88,   2.88,   3.82,   2.88,    152,    110,   1.89,   1.65,   1.63,      1,    .57,    .32,   -.16,   49.5,   78.7,
      101,      00,   196506,   2.28,   63.1,  -5.37,  -5.37,  -2.76,  -5.37,     76,     50,  -1.75,   -2.9,  -2.38,  -2.45,  -2.47,  -2.56,  -2.44,   50.4,   75.8,
      102,      00,   196506,   3.36,   63.8,   1.45,   1.45,   -.82,    .99,     81,     92,    -.6,    .09,     .5,    .88,   -.08,    .39,   -.49,   51.8,   75.8,
      103,      00,   196506,   3.85,   70.9,  -1.01,  -1.98,   -.47,  -1.59,    176,     25,   -.31,   -.98,   -.52,   -.11,   -.58,   -.67,  -1.19,   59.5,   82.2,
      104,      00,   196506,   6.75,   73.9,   -.55,    1.8,    2.7,    .81,    283,      5,   1.35,   -.13,   -.41,      0,    .67,   1.26,   1.01,   63.6,   84.2,
      108,      00,   196506,   1.64,   56.6,    .16,    .99,   -.04,   -.75,     12,    212,      0,   -.49,     .1,    -.6,    .77,    .83,    .69,   43.5,   69.8,
      105,      00,   196507,   2.48,   67.8,   3.39,   3.39,   3.31,   3.39,    190,     51,    .75,   1.09,   1.51,   1.11,   1.54,    .74,    .64,   54.4,   81.2,
