StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      108,      00,   195004,   2.03,   41.2,   1.84,   1.84,   -.08,   1.74,      0,    598,   -.43,    .92,    .94,    .92,    .71,    .45,    .75,   29.9,   52.5,
      107,      00,   195004,    .57,   51.4,  -2.16,  -2.16,  -1.84,  -2.16,     57,    386,  -1.02,  -1.47,  -1.48,  -1.43,   -1.3,   -.32,    -.5,   35.3,   67.4,
      109,      00,   195005,    .59,   57.9,  -2.18,  -2.18,   -.35,  -2.18,     28,    209,   -.44,   -.55,   -.35,   -.48,   -.91,  -1.07,  -1.17,   43.2,   72.6,
      102,      00,   195005,   3.65,   53.7,   2.08,   2.08,   1.06,   2.08,     22,    319,    .21,    .46,    .51,   1.24,    .27,    .44,   -.62,   41.7,   65.7,
      105,      00,   195005,   2.46,   48.5,   1.38,   1.38,   1.38,   1.38,     16,    434,   -.12,   -.37,    .05,    .37,    .36,   -.32,     .2,   36.4,   60.7,
      104,      00,   195005,    4.5,   71.6,  -1.82,  -1.82,    .35,   -1.6,    234,     26,    .56,    -.4,   -.18,  -1.15,  -1.21,   -.36,     .6,     60,   83.2,
      106,      00,   195005,   4.78,   71.2,    1.4,    1.4,     .9,    .81,    277,     15,    .74,    .27,   -.14,    .49,    .25,    .49,    .77,   59.4,     83,
      101,      00,   195005,    2.8,   55.3,   -.74,  -2.02,  -1.42,  -1.23,     10,    271,   -.72,  -1.01,    -.6,   -.05,   -.62,  -1.14,   -.84,   43.2,   67.3,
      107,      00,   195005,    .57,   56.7,  -2.76,  -2.76,  -2.47,  -2.76,     84,    281,  -1.16,  -1.46,  -1.75,  -1.35,  -1.16,   -.73,   -.53,   40.7,   72.7,
      103,      00,   195005,   4.49,   64.4,   3.24,   3.24,   -.01,   3.13,     84,    143,    .18,    .04,   -.22,   2.25,   1.62,   1.78,   1.61,   52.9,   75.9,
      108,      00,   195005,    1.1,   48.1,   1.24,   1.24,  -1.24,     .5,      1,    436,  -1.34,  -1.23,    .22,    .75,    .53,    .17,    .36,   34.8,   61.4,
      101,      00,   195006,   3.76,   63.7,   -.66,  -1.81,      0,     -1,     80,     46,   -.03,   -.54,   -.88,    .05,   -.65,   -.72,   -.95,   51.6,   75.9,
      109,      00,   195006,    .35,   65.2,  -2.05,  -2.05,   -.31,  -2.05,     78,     86,   -.14,   -.58,   -.62,   -.19,   -.83,  -1.02,  -1.31,   49.6,   80.8,
      107,      00,   195006,    .72,   67.4,  -3.21,  -3.21,  -2.19,  -3.21,    223,     85,   -.36,  -1.14,  -1.46,  -1.48,  -1.37,  -1.31,   -.78,   50.3,   84.4,
      105,      00,   195006,   2.37,   60.3,   1.13,   1.13,   -.34,    .86,     99,    151,   -.63,   -.59,   -.68,   -.14,    .05,   -.39,    -.3,   46.3,   74.3,
      106,      00,   195006,   3.46,   77.9,   1.33,   1.33,    .22,    .76,    412,      1,   -.05,    .39,    .12,    .41,    .28,    .26,    .73,   66.4,   89.3,
